sibling#n. 兄弟或姊妹
inch#v. 慢慢前进，慢慢移动
valor#n. 勇武，英勇
tendentious#adj. 有偏见的
skirt#v. 环绕，逃避
hush#v. 使安静下来，使停止说话
beckon#v. 召唤某人，示意
fallibility#n. 易于出错，出错性
brag#v. 吹嘘
irreducible#adj. 不可简化的；不能减小的
adduce#v. 给予（理由）；举出（例证）
critique#n. 批评性的分析
quota#n. 定额，配额
marrow#n. 骨髓；精华，精髓；食用葫芦
quartet#n. 四重奏曲；四重唱曲
slur#v. 含糊不清地讲
blockade#v. 封锁
generic#adj. 一般的，普通的；无注册商标的；非专利的
salvage#v. 营救，抢救；挽回
cathedral#n. 总教堂，主教堂
accost#v. 搭话；跟…搭讪
scorn#v. 轻蔑，瞧不起
hearsay#n. 传闻，道听途说
transmit#v. 传送，传播
compliance#n. 顺从，遵从
acuity#n. （尤指思想或感官）敏锐
beatific#adj. 祝福的，快乐的
depredation#n. 掠夺；破坏；蹂躏
pleonastic#adj. 罗嗦的
iota#n. 极少量，一点儿；希腊文的第九个字母
unearth#v. 挖出；发现
imitative#adj. 模仿的
certification#n. 证明
disrupt#v. 弄乱，扰乱
cadence#n. 抑扬顿挫；节奏，韵律
toady#n. 谄媚者，马屁精
motif#n. （作品）主题，主旨
loosen#v. 变松，松开；放宽（限制等）；使…弱化
conceal#v. 隐藏，隐瞒
bump#n. 碰撞声
shoal#adj. 水浅的
supplement#v.&n. 增补，补充
crotchety#adj. 脾气坏的
murky#adj. 黑暗的；浑浊的
pistol#n. 手枪
pariah#n. 贱民；被社会遗弃者
inkling#n. 暗示；略知，模糊概念
asthma#n. 哮喘症
assemble#v. 集合，聚集
divagate#v. 离题；飘泊
loath#adj. 不情愿的，勉强的
emblematic#adj. 作为象征的
extract#v. 拔出；提炼
ledger#n. 账簿；总帐；帐本
gear#n. 齿轮；装备；仪器
guffaw#n.&v. 狂笑，大笑
cavalry#n. 骑兵部队，装甲部队
sentiment#n. 多愁善感；思想感情
felicitate#v. 祝贺，庆幸
inroad#n. 突袭；消耗
recapitulate#v. 扼要重述
protocol#n. 外交礼节；协议；治疗方案
anthropologist#n. 人类学家
devotee#n. 爱好者
sublime#adj. 崇高的；壮丽的
sculptor#n. 雕刻家
escapism#n. 帮人逃避现实的事物
epitome#n. 典型；梗概
bawl#v. 大叫，大喊
chancellor#n. 大臣，总理，首席法官，大学校长
discursive#adj. 散漫的，无层次的
forte#adj. （音乐）强音的
sip#v. 啜饮
crayon#n. 彩色铅笔（或蜡笔）
mirth#n. 欢乐，欢笑
prank#n. 恶作剧；开玩笑
crater#n. 火山口；弹坑
impetuous#adj. 冲动的，急躁的
foliage#n. 叶子（总称）
kinetic#adj. 运动的
suspicion#n. 怀疑，觉察，嫌疑
document#v. 为…提供书面证明
arboretum#n. 植物园
reproach#n. 谴责，责骂
tawdry#adj. 华而不实的，俗丽的
ration#v. 配给
needle#n. 针；针叶
gulch#n. 深谷，峡谷
empower#v. 授权
escalate#v. 升级；扩大
insurgent#n. 叛乱分子
culprit#n. 罪犯
parry#v. 挡开；回避
coronation#n. 加冕典礼
indignity#n. 侮辱，轻蔑
aseptic#adj. 洁净的；无菌的
brittle#adj. 易碎的，脆弱的
salve#v. 安慰（良心）；减轻（内疚感）
drain#v. 排出；喝光
mechanical#adj. 机械的；机械方面的；精通机械的；呆板的
unwieldy#adj. 笨重的，笨拙的
exultant#adj. 欢欣的；欢喜的
abundant#adj. 丰富的，盛产的
credo#n. 信条
campaign#n. 战役；竞选活动
curd#n. 凝乳
cow#v. 威胁
deposition#n. 免职；沉积；作证
pellucid#adj. 清晰的，清澈的
appellation#n. 名称，称呼
timber#n. 木材，木料；（造船或建屋用的）栋木，大梁
paroxysm#n. （感情等）突然爆发；阵发
tango#n. 探戈舞
brook#n. 小河
glossary#n. 词汇表；术语汇编
specimen#n. 范例，样品，标本
reel#v. 卷…于轴上
condescending#adj. 谦逊的，故意屈尊的
garish#adj. 俗丽的，过于艳丽的
migratory#adj. 迁移的；流浪的
hubris#n. 傲慢，自大，自恃
tongs#n. 钳子；夹具
skew#adj. 不直的，歪斜的
incisive#adj. 一针见血的；机敏的；尖锐的
bristle#v. （毛）竖起；发怒
ossify#v. 使僵化；使墨守成规
expiate#v. 赎罪，补偿
desalinize#v. 除去盐分；淡化海水
far#adj. 影响深远的
caress#v. 爱抚或抚摸某人
lackey#n. 唯命是从之徒；哈巴狗；应声虫
awe#adj. 令人敬畏的
tantamount#adj. 与…相等的
utter#v. 发出声音
acquiesce#v. 勉强同意，默许
exponentially#adv. 指数地；迅速增长地
plank#n. 厚木板；要点
intercessor#n. 仲裁者
default#v.&n. 拖欠；不履行责任
harness#v. 给（马等）套上挽具；利用
owl#n. 猫头鹰
emissary#n. 密使；特使
clench#v. 握紧；咬紧（牙关等）
discriminate#v. 区分
plaintive#adj. 可怜的；悲伤的；哀怨的
artisan#n. 技工
linen#n. 亚麻织品；亚麻布；家庭日用织品
bewildering#adj. 令人迷惑的；费解的
gloomy#adj. 昏暗的；忧伤的；悲观的；前景黯淡的
illusory#adj. 虚幻的，幻觉的
riotous#adj. 暴乱的；蛮横的
enthrall#v. 迷惑，迷住
luminary#n. 杰出人物，名人
mortar#n. 迫击炮；研钵；砂浆
cacophonous#adj. 发音不和谐的，不协调的
repatriate#v. （自异国）遣返
archer#n. （运动或战争中的）弓箭手，射手
gladiator#n. 角斗士；勇士，斗士
converge#v. 会聚，集中于一点
convert#n. 改变信仰者
esophagus#n. 食道，食管
proprietary#adj. 专利的；专卖的
slight#n.&v. 轻蔑
groan#v.&n. 呻吟，叹息
clot#v. 使凝结成块
invoke#v. 祈求；恳求；（法律的）实施生效
axis#n. 轴（常为虚构之线，如地球轴）
rudimentary#adj. 初步的，粗浅的，不完善的
desperado#n. 亡命之徒；暴徒
lunatic#adj. 极蠢的
redolent#adj. 芬芳的，芳香的
shelter#v. 庇护，保护
chorus#n. 合唱队，歌舞团
authoritarian#n. 独裁主义者；极权主义者
colony#n. 菌群；殖民地
minnow#n. 鲦鱼，小淡水鱼
legislature#n. 立法机关，立法团体
brand#v. 在某事物上打烙印
exult#v. 欢腾，喜悦
retreat#n.&v. 撤退；隐居处
oath#n. 誓言；咒骂
reverie#n. 幻想，梦幻曲
sustained#adj. 持久的，经久不衰的
utilitarian#adj. 功利的，实利的
habitat#n. 栖息地；产地；生境
ransom#v. 赎回
billow#v. 翻腾
preclude#v. 排除；妨碍；阻止
chuckle#v. 轻声地笑
helmet#n. 头盔，防护帽
pompous#adj. 自负的；自命不凡的；浮华的
fumigate#v. 烟熏，熏蒸
insubstantial#adj. 无实体的；脆弱的；不大的
fractional#adj. 微小的，极小的
underbid#v. 要价过低
extol#v. 赞美
pursue#v. 追捕；追求；实行
implement#v. 履行；实施
incisor#n. 门牙
earring#n. 耳环，耳饰
preface#n. 序言，前言；开端
underplay#v. 对…轻描淡写；表演（角色）不充分
plenary#adj. 全体出席的
boon#n. 恩惠，天赐福利
queer#adj. 奇怪的，疯狂的，异常的
masticate#v. 咀嚼；把…磨成浆
parasite#n. 靠他人为生的人；寄生虫，寄生物
intestine#adj. 内部的
unbecoming#adj. 不合身的；不得体的
glitch#n. 小故障，小毛病
provident#adj. 深谋远虑的；节俭的
adequate#adj. 足够的
anguish#n. 极大痛苦
containment#n. 阻止，遏制
dastard#n. 懦夫，胆小的人
gale#n. 狂风；一阵（大笑声）
reportorial#adj. 记者的；记实的
concussion#n. 脑震荡；强烈震动
penultimate#adj. 倒数第二的
mulish#adj. 固执的，执拗的
quadrangle#n. 四边形；（周围有建筑物的）四方院子；方形庭院（尤见于校园）
deforestation#n. 采伐森林
rickety#adj. 不牢靠的，摇摇欲坠的
dilapidation#n. 破旧，荒废
lumberjack#n. 伐木工
tantalize#v. 挑惹，挑逗
sapling#n. 树苗；年轻人
cygnet#n. 小天鹅
solitude#n. 孤独
unscrupulous#adj. 肆无忌惮的
permanent#adj. 长久的，永久的；（家庭住址）固定的；（员工）终生的
relent#v. 动怜悯心；减弱
frequent#v. 常去；常出入于  'friːkwənt adj. 惯常的
brattish#adj. （指小孩）讨厌的，宠坏的，不礼貌的
whelp#n. 幼兽；小狗；[力学]扣齿链
diagnose#v. 判断，诊断
statutory#adj. 法令的；法规的
extricable#adj. 可解救的，能脱险的
logistics#n. 物流；后勤
misinform#v. 误传；提供错误消息
feral#adj. 凶猛的，野生的
autocrat#n. 独裁者
casual#adj. 偶然的
superannuated#adj. 老迈的
overpowering#adj. 压倒性的；不可抗拒的；（人）个性极强的
digress#v. 离题
diverse#adj. 不同的；多样的
solace#n. 安慰，慰藉
acquisitive#adj. 渴望得到的，贪婪的
trumpet#v. 大力鼓吹，积极宣扬；（象）吼叫
loiter#v. 游荡；徘徊
hortative#adj. 激励的
antibiotic#n. 抗生素
husk#n. 外壳；皮，荚
individual#n. 个人，个体
formality#n. 遵循的规范；形式；程序
debacle#n. 解冻；惨败
plankton#n. 浮游生物
aurora#n. 极光（南北极夜晚所放彩光）
outlandish#adj. 古怪的
malign#adj. 邪恶的
subsidiary#adj. 辅助的；次要的
celerity#n. 快速，迅速
purvey#v. 提供，供应
intricate#adj. 复杂难懂的
intuition#n. 直觉；直觉的知识
gossamer#adj. 蛛丝般的；轻薄的
execrate#v. 憎恶；咒骂
lathe#n. 车床
repent#v. 懊悔，后悔
remunerate#v. 报酬，补偿
fulcrum#n. 支点，支柱
boring#adj. 无趣的，乏味的
recruit#v. 招收；招募
locomotive#n. 机车，火车头
wizened#adj. 干皱的，干巴巴的
peregrination#n. 游历（尤指在国外）
tenable#adj. 站得住脚的，无懈可击的
gorge#n. 峡谷
chaos#n. 混乱
recline#v. 斜倚，躺卧（toliedown）
slew#n. 大量
cringe#v. 畏缩；谄媚
mansion#n. 宅邸，大厦；（常用于公寓楼的专有名称中）公寓
inspiration#n. 启示，灵感
abominate#v. 痛恨；憎恶
ingest#v. 咽下，吞下；吸收
temporize#v. 拖延；见风使舵
indite#v. 写，赋（诗文）
ductile#adj. 易延展的，柔软的
petulance#n. 发脾气，性急，暴躁；任性
char#v. 烧焦；（把…）烤煳
revise#n.&v. 改变，修正
poseur#n. 装模作样的人
remains#n. 残余；遗骸
dissolve#v. 使固体溶解
libel#v. 对…进行诽谤，中伤
preliminary#adj. 预备的；初步的；开始的
propagation#n. 繁殖；增殖；传播
harp#v. 弹竖琴；唠叨，喋喋不休地说
bibulous#adj. 高度吸收的；嗜酒的
histrionic#adj. 戏剧化的；做作的；夸张的
turpitude#n. 邪恶，卑鄙（行为）
rampart#n. 壁垒；城墙
loophole#n. （法律上的）漏洞，空子；枪眼
proverbially#adv. 人尽皆知地
husky#adj. 声音沙哑的
stultify#v. 使厌烦；使无用
inadvertence#n. 漫不经心
indigence#n. 贫穷
epidermis#n. 表皮，外皮
budget#n. 预算
spin#n. 旋转
terminology#n. 术语，术语学
variegation#n. 杂色，班驳
transient#adj. 短暂的，转瞬即逝的
enliven#v. 使有趣；使生动
bibliography#n. 文献学；参考书目
gasification#n. 气化
concatenate#v. 连结；连锁
uphold#v. 拥护，支持；坚持（原判）
emergency#n. 紧急事件
omit#v. 省略；遗漏；删节
rational#adj. 理性的；合理的
patent#n. 专利权
falcon#n. 猎鹰；隼
immaculate#adj. 洁净的；无瑕疵的
ruck#n. 皱褶；普通群众
assure#v. 向某人保证，确信
sentry#n. 哨兵，步哨
lopsided#adj. 倾向一方的；严重不平衡的
seam#n. 缝，接缝
purport#n. 意义，涵义
maculate#v. 弄脏
subsidy#n. 补助金
cranky#adj. 怪癖的；不稳的
adverse#adj. 不利的，相反的；敌对
carnivorous#adj. 肉食动物的
irreconcilable#adj. 不能协调的，矛盾的
natation#n. 游泳，游泳术
incorporate#v. 合并，并入；包含
brazen#adj. 厚脸皮的
maintenance#n. 维持；维护；赡养费；定期维修
touching#adj. 引起同情的
discord#n. 不和，纷争
musket#n. 滑膛枪；火枪
hoodwink#v. 蒙混，欺骗
fitful#adj. 一阵阵的；断断续续的
indurate#v. 使坚硬；使习惯于
unproductive#adj. 徒然的，没有好结果的
muscle#n. 肌肉；力量
sloth#n. 懒惰；树獭（一种动物）
gleam#v. 闪光，闪烁
ruminate#v. （动物）反刍；深思；认真考虑
cold#adj. [生]冷血的；残酷的
hypocrite#n. 伪善者，伪君子
marine#adj. 海的；海中的
idolater#n. 偶像崇拜者
racketeer#n. 敲诈者，获取不正当钱财的人
vault#n. 拱顶；地窖
huddle#n. 拥挤的一群；杂乱的一堆
cyclical#adj. 循环的；周期的
cult#n. 宗派；崇拜者
mercantile#adj. 贸易的，商业的
script#n. 剧本，脚本
dapper#adj. 衣冠楚楚的，短小精悍的
asphyxia#n. 窒息
bench#n. 法官席；长凳
thicket#n. 树丛，灌木丛
humidity#n. 湿度；潮湿
stealth#n. 暗中行动
cobbler#n. 补鞋匠
signify#v. 表示；有重要性
giggle#v. 咯咯笑
limousine#n. 大型轿车，豪华轿车
utensil#n. 工具，（厨房）用具
corroborate#v. 证实；确证
sovereign#n. 最高统治者，元首
aberrant#adj. 越轨的；异常的
delirium#n. 神志不清；说胡话
stubborn#adj. 固执的；难以改变的
forbidding#adj. （表情）冷峻的；形势险恶的
pincers#n. 钳子；（虾、蟹等的）螯
rip#v. 撕裂，撕破
maestro#n. 音乐大师，指挥名家
renunciate#v. 放弃
engrave#v. 在（硬物）上雕刻
fallacious#adj. 谬误的，错误的
redundancy#n. 过剩；备份；似乎多余其实重要的后备力量
geyser#n. 间歇泉；热水器
discomfited#adj. 困惑的，尴尬的
windbag#n. 好发空议论者；夸夸其谈的人
sedentary#adj. 久坐的
burlesque#n. 讽刺或滑稽的戏剧
forum#n. 论坛，讨论会
plentitude#n. 充分；丰富
hilarious#adj. 引人捧腹大笑的；滑稽的；极有趣的
denizen#n. 居住者；外籍居民
pulsation#n. 脉动，脉搏；悸动
restore#v. 使回复，恢复；修复，修补
feckless#adj. 无能的；软弱的；不中用的
dingy#adj. 肮脏的；褪色的
horology#n. 钟表制造术
alibi#n. 某人当时不在犯罪现场的申辩或证明
telling#adj. 有效的，显著的
ulcer#n. 溃疡；腐烂物
antagonize#v. 使对抗；与…对抗
undisputable#adj. 无可争辩的；毫无疑问的
offset#v. 补偿；抵消
cantata#n. 清唱剧，大合唱
approbation#n. 称赞，认可
injunction#n. 命令；强制令
achromatic#adj. 消色差的；非彩色的；[生]非染色质的
compelling#adj. 引起兴趣的
germinate#v. 发芽；（想法、计划或感觉）形成，产生
endue#v. 赋予（才能）
interlock#v. 使连锁；使相互扣住；使密切联系
exposure#n. 暴露，接触，曝光
saturate#v. 浸透；使充满
suspend#v. 暂缓，中止；吊，悬
eminence#n. 显赫；卓越
immune#adj. 免疫的；有免疫力的；不受影响的；免除的
buxom#adj. 体态丰满的
anodyne#n. 止痛药
revulsion#n. 厌恶，憎恶；剧烈反应
jeopardize#v. 危及，危害
gush#v. 涌出；滔滔不绝地说
lava#n. 熔岩
expiation#n. 赎罪，补偿
capacious#adj. 容量大的，宽敞的
etymology#n. 词源；词源学
alms#n. 施舍物，救济品
lucubrate#v. 深入研究；刻苦用功；专心著作
bamboozle#v. 欺骗，隐瞒
amputate#v. 截肢
retention#n. 保留，保持
occidental#adj. 西方的
integral#adj. 构成整体所必需的；完整的
attribute#n. 属性，品质  əˈtrɪbjut v. 把…归于
tear#v. 撕裂，拉伤；撕开，扯破
posit#v. 假设，认为
unprincipled#adj. 肆无忌惮的
compensate#v. 补偿，赔偿
nepotism#n. 裙带关系
generosity#n. 慷慨，大方
insentient#adj. 无知觉的，无生命的
instill#v. 滴注；逐渐灌输
precursor#n. 先驱；前兆
reinforce#v. 加强，增强；增援
atone#v. 赎罪，补偿
debouch#v. 流出，进入（开阔地区）
pristine#adj. 太古的；纯洁的；新鲜的
gaiety#n. 快乐；愉快；高兴
ragged#adj. 破烂的；衣衫褴褛的
duration#n. 持续的时间
unpretentious#adj. 不炫耀的
ranger#n. 森林管理员；巡逻骑警
turquoise#adj. 碧绿的
adamant#adj. 强硬的；固执的
ruthlessness#n. 无情，残忍
infatuation#n. 迷恋；热恋；着迷
architect#n. 建筑师
destructible#adj. 可破坏的
whirlpool#n. 漩涡
macerate#v. 浸软；消瘦
sluggard#n. 懒鬼
vomit#n.&v. 呕吐；呕吐物；催吐剂
demoralize#v. 使士气低落
deposit#v. 存放；使淤积
bracelet#n. 手镯，臂镯
elevate#v. 将…举起
sop#n. 小恩小惠
untapped#adj. 未开发的，未利用的
dehydrate#v. 除去水分，脱水
canard#n. 谣言，假新闻
backset#n. 倒退
slay#v. 杀，残杀
stall#v. 使停止，使延迟
suborn#v. 贿赂；教唆
recondite#adj. 深奥的
outshine#v. 比…更优秀；比…更出色；胜过
daubster#n. 拙劣的画家
pyre#n. 火葬用的柴堆
subtract#v. 减去，减掉
crestfallen#adj. 垂头丧气的；伤心失望的
contingent#adj. 意外的；视情况或条件而定的
pithiness#n. 简洁
implicate#v. 使牵连其中；涉及
skewer#v. 用扦子串住；将…叉住
inflict#v. 遭受；予以（打击）
disparage#v. 贬抑，轻蔑
veteran#adj. 经验丰富的
contemptuous#adj. 鄙视的，表示轻蔑的
exterminate#v. 消灭，灭绝
strangulation#n. 扼杀，勒死
obliterate#v. 消灭，毁掉；抹除，忘却（回忆等）
particular#n. 事实，细节
modish#adj. 时髦的，时尚的
miracle#n. 奇迹；出人意料的事；神迹
sustain#v. 经受；遭受；保持
scuff#v. 拖着脚走
shiftiness#n. 奸诈
prudence#n. 谨慎；慎重；精明
sash#n. 腰带，肩带
stylus#n. （唱机的）唱针；（计算机的）手写笔，触笔
hut#n. 小屋；棚屋；临时营房
bondage#n. 奴役，束缚
triumph#n. 凯旋，胜利，欢欣
arid#adj. 干旱的；枯燥的
avow#v. 承认；公开宣称
nomadic#adj. 游牧的；流浪的
pollster#n. 民意测验家
chic#adj. 漂亮的，时髦的
instrumental#adj. 有帮助的，有作用的
lexicographer#n. 词典编纂人
toxin#n. 毒素
libelous#adj. 诽谤的
depraved#adj. 堕落的，腐化的
visionary#n. 空想家
aptitude#n. 适宜；才能，资质
ingratiating#adj. 讨人喜欢的，迎合的，奉承的
eugenic#adj. 优生（学）的
continent#n. 大陆
tactic#n. （达到目的的）手段；战术
dampen#v. （使）潮湿；使沮丧
contort#v. （使）扭曲（deform）；曲解
boycott#v. 抵制（贸易）
choke#v. （使）窒息，阻塞
untutored#adj. 非科班出身的
quaint#adj. 离奇有趣的
engaging#adj. 迷人的，令人愉快的
applaud#v. 鼓掌表示欢迎或赞赏
coalition#n. 结合，联合
excogitate#v. 对…仔细考虑；设计出
colloquium#n. 学术讨论会
belch#n.&v. 打嗝；（火山）喷出
decoy#v. 诱骗
disjunctive#adj. 分离的，相反的
literati#n. 文人学士；知识界
halting#adj. 踌躇的；结结巴巴的，迟疑不决的
chasten#v. （通过惩罚而使坏习惯等）改正；磨炼
squall#n. 短暂、突然且猛烈的风暴；短暂的骚动
passive#adj. 被动的；消极的
municipality#n. 自治市；市政当局
recession#n. 经济萧条时期；撤回，退回
bandy#v. 来回抛球；轻率谈论
sartorial#adj. 裁缝的，缝制的
scintillate#v. 闪烁；（谈吐）流露机智
ballerina#n. 芭蕾舞女演员
apparatus#n. 仪器，设备
rafter#n. 椽子
venal#adj. 惟利是图的，贪赃枉法的
variegate#v. 使…多样化；使成杂色
vehicle#n. 交通工具；传播媒介
denomination#n. 命名；（长度，币值的）单位
stentorian#adj. （指声音）极响亮的
placebo#n. 安慰剂
carrion#n. 腐肉
quip#n. 俏皮话，妙语
falsify#v. 篡改；伪造
jumble#n. 混杂，掺杂
denounce#v. 指责
audience#n. 听众，观众；读者
repellent#adj. 令人厌恶的
philology#n. 语文学，语言学
simultaneous#adj. 同时发生的
aloof#adj. 冷淡的，疏远的
deportment#n. （尤指少女的）仪态，举止
acute#adj. 灵敏的；[病]急性的
spoor#n. （野兽的）足迹<e（野兽的）足迹>（atrail，ascent，ordroppingsofawildanimal）
impunity#n. 不受惩罚
alabaster#adj. 雪白的
swindle#v. 诈骗
expatiate#v. 细说，详述
negotiable#adj. 可谈判的；可协商的；（票据）可兑现的
rarefaction#n. 稀薄，稀疏
dissertation#n. 专题论文
fetter#n.&v. （带）脚镣；束缚
cajole#v. （以甜言蜜语）哄骗
astound#v. 使震惊
ceremony#n. 典礼，仪式
loquacious#adj. 多嘴的，饶舌的
personification#n. 典型；化身；拟人化；象征
umbrage#n. 不快，愤怒
cloister#n. 回廊
aroma#n. 芳香，香气
pervious#adj. 可渗透的；可透过的
pliable#adj. 易弯的，柔韧的
injection#n. 注射；（金钱或资源的）投入
buck#n. 雄鹿；雄兔
severe#adj. 严格的；凶猛的
augury#n. 预言，征兆，占卜
earthshaking#adj. 极其重大或重要的
ferocious#adj. 凶猛的，残暴的
declination#n. 倾斜；衰微
tantrum#n. 发脾气，发怒
tilt#n. 倾斜，斜坡
pinch#n. 一撮，一点；少量
showy#adj. 鲜艳的；炫耀的
civilian#n. 平民
unscathed#adj. 未受损伤的，未遭伤害的
milestone#n. 里程碑；重大事件
scythe#n. 大镰刀
indelible#adj. 擦不掉的；不可磨灭的
prophecy#n. 预言
skunk#v. 欺骗
loutish#adj. 粗鲁的，粗野的
inter#v. 埋葬
addle#v. 使腐坏；使昏乱
apt#adj. 易于…的，恰当的
decry#v. 谴责；贬低（价值）
friable#adj. 易碎的
overture#n. 前奏曲，序曲；主动表示，提议
mete#n. 边界
postpone#v. 使延期，推迟
decorate#v. 装饰
thatch#n. 茅草屋顶；茅草
rig#v. 欺骗，舞弊，伪造
prop#v. 架；搁；靠
schematize#v. 扼要表示
hypertension#n. 高血压
diminuendo#n. （音乐、演奏）渐弱
heave#v. 用力举
prolixity#n. 罗嗦
muse#v. 沉思，揣测
pliers#n. 钳子；老虎钳
understate#v. 掩饰地说，轻描淡写地说
membrane#n. 薄膜；膈膜
occupation#n. 工作，职业；占领；消遣
diffident#adj. 缺乏自信的
suspect#v. 怀疑  ˈsʌspekt adj. 可疑的
carp#v. 吹毛求疵
necessitous#adj. 贫困的，贫穷的
scour#v. 擦洗，擦亮；四处搜索
utopia#n. 理想国，理想的完美境界
detain#v. 拘留；使延迟
slab#n. 厚板，厚块
industrious#adj. 勤劳的，勤奋的
clinch#v. 钉牢；彻底解决
noose#n. 绳套，绞刑
mock#v. 嘲笑；（模仿）取笑
parochial#adj. 教区的；地方性的，狭小的
behold#v. 目睹，看见
reparable#adj. 能补救的，可挽回的
plebeian#adj. 平民的；市井的；粗俗的
obtuse#adj. 迟钝的；愚笨的；钝角的
inexpedient#adj. 不适当的；不明智的
soluble#adj. 可溶解的；可以解决的
equator#n. 赤道
encroach#v. 侵占，蚕食
luscious#adj. 美味的；性感的
deplete#v. 倒空；耗尽
ringlet#n. 卷发
clarity#n. 清楚
smuggle#v. 走私，私运
plume#v. 整理羽毛；自豪
dutiful#adj. 恭敬顺从的，尽职的
constellation#n. 星座，星群
brunt#n. 主要冲击力或影响
reign#n. 统治时期；王朝；领域
wink#n. 眨眼
livid#adj. 暴怒的；青紫色的
collude#v. 串通，共谋
slump#v. 猛然落下；暴跌
reckon#v. 推断，估计；猜想，设想
agile#adj. 敏捷的，灵活的
involuntary#adj. 无意的
febrile#adj. 发烧的；狂热的
forensic#adj. 法医的，法庭的；辩论的
vitalize#v. 激发；给予…生命；使有活力
obfuscate#v. 混淆；使困惑，使迷惑
legislate#v. 制定法律；立法
ambience#n. 环境，气氛
hearken#v. 倾听
sedition#n. 煽动叛乱
supreme#adj. 至高的；最重要的
jarring#adj. 声音刺耳的
confederacy#n. 联盟或同盟
shuttle#v. （使）频繁往来于（两地之间）
endow#v. 资助，捐助
barter#v. 易货贸易
arbiter#n. 权威人士，泰斗
descry#v. 远远看到，望见
antiquity#n. 古；古人；古迹
palatial#adj. 宫殿般的；宏伟的
mare#n. 母马，母驴
excitability#n. 易兴奋性，易激动性
laminate#n. 层压材料；夹层制品
exposition#n. 阐述；博览会
moment#n. 瞬间；时刻，时机
incorrigibility#n. 无可救药的人
oscillate#v. 摆动；犹豫
asymmetric#adj. 不对称的
symposium#n. 专题讨论会
commence#v. 开始，倡导
disrepute#n. 丧失名誉；落得坏名声
colon#n. 冒号
odometer#n. （汽车）里程表
vicissitude#n. 变化，变迁，荣枯，盛衰
pollinate#v. 给…传授花粉
cosset#v. 宠爱，溺爱
drollery#n. 诙谐，滑稽的事
fabric#n. 纺织品；结构
cuticle#n. 表皮
sycophant#n. 马屁精，谄媚者
pharmaceutical#adj. 制药的，配药的
seismic#adj. 地震的
superficial#adj. 表面的，肤浅的
insolvency#n. 无力偿还；破产
unjustly#adv. 不义地，不法地，不公正地
exalt#v. （高度）赞扬；提升
inherit#v. 继承；经遗传获得（特征、特质等）
abjure#v. 发誓放弃
lance#n. 长矛；鱼叉
bromide#n. 平庸的人或话
stunning#adj. 极富魅力的
incertitude#n. 疑惑，不确定
antithesis#n. 对立；相对
pontifical#adj. 教皇的；武断的
transparent#adj. 透明的；直率的
cant#v. 使倾斜
sanity#n. 神志清楚
atrocious#adj. 残忍的，凶恶的
rhetoric#n. 修辞学，浮夸之词
obviate#v. 消除；排除；使成为不必要
sublimate#adj. 升华的；纯净的；理想化的
defined#adj. 有定义的；外形清晰的
multifarious#adj. 多种的；各式各样的
prudish#adj. 过分正经的，大惊小怪的
abstract#adj. 抽象的
palmy#adj. 繁荣的；棕榈的
latency#n. 潜伏期
pucker#n. 皱褶
muster#v. 召集，集合；聚集
landslide#n. 山崩；压倒性胜利
outgrowth#n. 自然结果；产物
impetus#n. 推动，推动力；刺激
demagogue#n. 煽动者，蛊惑民心的政客
daub#v. 涂抹；乱画
resin#n. 树脂
misanthrope#n. 厌恶世人者；不愿与人来往者
environ#v. 包围，围绕
flush#n.&v. 脸红；冲洗
amicable#adj. 友好的
outlet#n. 出口；经销店；折扣店
habituate#v. 使习惯于
shelve#v. 搁置
swear#v. 诅咒
fledgling#n. 正在学习飞行的幼鸟；无经验的人
tinder#n. 火绒；引火物
demography#n. 人口统计学，人口学
counterpoise#v. 平均，平衡
traduce#v. 中伤，诽谤
abet#v. 教唆，鼓励，帮助
supernova#n. 超新星
thesis#n. 论题，论文
germ#n. 胚芽；微生物；细菌；起源，萌芽
intrude#v. 把（思想等）强加于，闯入
flax#n. 亚麻
vouch#v. 担保，证明
deprecate#v. 反对，批评
conjure#v. 恳求，祈求；变魔术，变戏法
saccharin#n. 糖精
unification#n. 统一，一致
upbraid#v. 斥责，责骂
tatty#adj. 破烂的，不整洁的
derogate#v. 贬低，诽谤，减损
arouse#v. 唤醒；激发
ingestion#n. 摄取，吸收
cyclone#n. 旋风；龙卷风
divestiture#n. 脱去（衣服）；剥夺财产或权利；夺去称号
adept#adj. 老练的，精通的
bravado#n. 故作勇敢，虚张声势
obedient#adj. 服从的，顺从的
lout#n. 粗人
prolong#v. 延长，拉长
sheen#n. 光辉，光泽
canon#n. 经典，真作
eerie#adj. 可怕的；怪异的
noisome#adj. 令人讨厌的；令人不快的
viands#n. （复数）食品，食物
amass#v. 积聚
pastry#n. 糕点，点心
parameter#n. 参量；参数；界限
sangfroid#n. 冷静；镇定；沉着
shrewd#adj. 判断敏捷的，精明的
olfactory#adj. 嗅觉的
transition#n. 过渡，转变
mogul#n. 显要人物，权势之人
hibernate#v. 冬眠，蛰伏
compassion#n. 同情，怜悯
demeanour#n. 举止，行为
stratify#v. （使）分层
oligarchy#n. 寡头政治
mortify#v. 使丢面子；使窘迫；使羞愧
technocrat#n. 技术管理人员
threadbare#adj. 破旧的，磨薄的
slough#n. （蛇等的）蜕皮
plenitude#n. 完全；大量，丰富
contradict#v. 反驳，驳斥
expropriate#v. 征用；没收
finery#n. 华丽的服饰
conviviality#adj. 欢乐的；轻松快活的
